MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;UNE;AZUL;VALOR UNIONISTA;CABAL;TODOS;VAMOS;PHG;PR;PIN;ELEFANTE;VICTORIA;SEMILLA;FCN-NACION;PPN;UR;URNG-MAIZ WINAQ;CREO;BIEN;VIVA;MI FAMILIA;CAMBIO;VOS;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PAPELETAS-RECIBIDAS;PAPELETAS-NO-USADAS;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
6890;El Progreso;4;Morazán;2;752;380;33;1;21;1;2;48;0;0;0;--;3;6;0;0;0;1;0;2;29;2;0;1;150;91;59;300;0;300;--;380;80;300;150;300;300;Algún campo sin dato;1;61db248145659640bcaa1c6b4cf006e32a644acbcc5b64e8dfc1075e14fb11fe;25/06/23 20:10;ESCANER
6891;El Progreso;4;Morazán;2;752;380;45;0;10;1;1;40;1;0;0;0;0;4;2;1;0;1;0;0;28;3;1;3;141;75;37;253;0;253;--;380;127;253;141;253;253;Algún campo sin dato;1;96fd81bedc6552fc7b010b237540902f98be5ae44bc2e14ef3e8dbbf91d41c53;25/06/23 20:36;ESCANER
6892;El Progreso;4;Morazán;2;752;380;37;1;14;3;1;28;0;0;0;0;1;4;2;0;0;0;0;2;15;1;1;2;112;82;29;223;0;223;--;380;157;223;112;223;223;Algún campo sin dato;1;7f13c15b3433f060cc843613f218f222e3143b2d8066541a42c8c63dc626ff5e;25/06/23 19:36;ESCANER
6893;El Progreso;4;Morazán;2;752;376;43;1;18;4;2;33;0;0;0;1;0;10;3;0;1;0;0;3;25;1;0;0;145;92;22;259;0;259;--;385;127;258;145;259;259;Algún campo sin dato;1;b1024bc4aa4aa0f54147cb284141a13eaddd61eb6eb1368332c14e0720aae71d;25/06/23 21:09;ESCANER
6894;El Progreso;4;Morazán;2;752;375;32;0;16;0;1;34;0;0;0;0;1;9;0;0;1;0;0;1;31;1;0;0;127;78;27;232;0;232;--;375;143;233;127;232;232;Algún campo sin dato;1;b2da8486334d2c5a949cdbc952ad1d088b1a929e9f8eedc007e16c72da01a18c;25/06/23 20:55;ESCANER
6895;El Progreso;4;Morazán;2;753;343;6;1;8;1;0;8;1;1;0;0;0;5;0;0;0;0;1;0;5;1;0;2;40;26;15;81;0;81;--;351;270;81;40;81;81;Algún campo sin dato;1;602f95fd4f5a77893f048017c0a6a49ba54037c10f49f4f1fda87ecc36d0e33a;25/06/23 19:29;ESCANER
6896;El Progreso;4;Morazán;2;753;343;1;0;1;1;0;4;0;0;0;0;0;3;0;0;0;0;0;2;4;0;0;1;17;8;4;29;0;29;--;350;321;29;17;29;29;Algún campo sin dato;1;a8d38834549b4dcd9afce543b93ec3bba03c5f600f323dd4c7c72439ce371f27;25/06/23 20:02;ESCANER
6897;El Progreso;4;San Agustín Acasaguastlán;3;754;400;55;1;26;6;0;10;0;1;2;2;5;9;2;1;2;0;2;10;28;0;3;5;170;76;50;296;0;296;--;401;105;296;170;296;296;Algún campo sin dato;1;39c3677acbb90048f6aeecf12cfbcb654b06df93f4e70d0252487b7f56b09761;26/06/23 0:33;ESCANER
6898;El Progreso;4;San Agustín Acasaguastlán;3;754;400;42;3;29;8;1;9;2;3;2;0;5;12;2;0;4;3;1;3;30;9;1;3;172;92;42;306;0;306;--;--;--;--;172;306;306;Algún campo sin dato;1;808c412125fe7be50c09d9bb03a7aa51c56d629dc1b4cc8d0dbea2bcae5e2668;26/06/23 1:45;ESCANER
6899;El Progreso;4;San Agustín Acasaguastlán;3;754;400;53;0;32;5;2;9;1;0;2;0;6;12;1;0;1;2;1;8;23;5;1;5;169;80;43;292;0;292;--;400;108;292;169;292;292;Algún campo sin dato;1;b1e28f2b3a4169dcf9f81c19637f28c6a87329311f55d829882f8bdd12f2e764;26/06/23 2:52;ESCANER
