TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
709,708,99.8589,704,99.2947,4,261838,157877,60.2956

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,VALOR UNIONISTA,UNE,WINAQ,VICTORIA,VAMOS,PHG,PPN,TODOS,MLP,U R N G - MAIZ,P A N,UR,CAMBIO,PODEMOS,CREO,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8383,"Santa Rosa",6,"Cuilapa",1,981,233,4,0,6,40,25,1,1,24,1,4,2,1,1,0,0,0,0,2,1,4,5,1,123,17,1,141,0,141,--,233,92,123,141,141,Algún campo sin dato,1,46e731da0cf9c11fad2255e35ebbd35550a58bb4089d3b2173724efac6e9ead2,25/06/2023 22:47:27,ESCANER
8384,"Santa Rosa",6,"Cuilapa",1,981,233,2,2,1,26,29,1,1,13,1,1,1,0,2,1,0,0,0,1,0,3,4,1,86,19,1,106,0,106,--,233,127,90,110,110,Sumas Asentadas sin cuadrar,1,ad9ae73052fc4702f10850a81bb84d4c54da79d720d5a88f898f87d5a77f4926,25/06/2023 21:21:54,ESCANER
8385,"Santa Rosa",6,"Cuilapa",1,982,380,7,1,3,2,81,0,1,26,0,2,3,0,1,0,1,1,0,1,1,9,1,0,141,35,21,199,2,199,--,377,178,141,197,199,Sumas Asentadas sin cuadrar,1,61e0bf34bb9bf173173247aaf202f64f75262ea4f514ff70cabd2b567822b147,25/06/2023 23:27:01,ESCANER
8386,"Santa Rosa",6,"Cuilapa",1,982,380,7,2,5,3,93,0,1,29,1,2,2,1,3,2,0,2,0,1,1,5,1,0,161,23,30,214,4,218,--,377,159,161,214,218,Algún campo sin dato,1,cda37eccad8957fc2dc41ebc1a0f2d3736a7e66bcd81029f107343a9ee08728c,25/06/2023 23:52:36,ESCANER
8387,"Santa Rosa",6,"Cuilapa",1,982,380,1,0,6,3,94,1,0,26,0,7,0,2,0,2,0,1,0,4,1,9,0,1,168,43,29,240,0,240,--,369,129,158,230,230,Sumas Asentadas sin cuadrar,1,13fb368f9060e16b3b4b41fb281462f00786c8a221df9a70e78ab9f02c1dd9bd,26/06/2023 00:51:48,ESCANER
8388,"Santa Rosa",6,"Cuilapa",1,982,380,12,1,5,5,87,3,1,24,0,1,2,2,1,1,0,1,0,2,0,7,2,1,158,37,30,225,0,225,--,380,155,158,225,225,Algún campo sin dato,1,ef6b75222c0dcf20429ef634c9b587d07787569dad2db1780ea07b0c7036cc31,26/06/2023 00:25:17,ESCANER
8389,"Santa Rosa",6,"Cuilapa",1,982,380,8,1,4,8,76,0,0,21,0,0,1,0,0,1,0,1,0,2,0,5,5,0,133,25,12,170,0,380,--,380,210,133,170,170,Sumas Asentadas sin cuadrar,1,15adf14c395a674577d227c04d2b9dde235cc58998f36f1c5845fb9de7ef31bc,25/06/2023 23:30:58,ESCANER
8390,"Santa Rosa",6,"Cuilapa",1,982,380,6,2,5,8,71,1,0,29,1,4,1,1,1,2,0,2,0,1,2,4,3,2,146,26,15,187,0,187,--,380,193,146,187,187,Algún campo sin dato,1,2a8a5279c9e76649c3fb2370d4efd24f360a3536f4ea6ef063df6b2f9f68d98f,25/06/2023 23:00:04,ESCANER
8391,"Santa Rosa",6,"Cuilapa",1,983,308,5,--,--,1,61,1,1,28,--,2,--,--,1,--,--,2,1,3,--,2,5,--,113,18,7,138,--,138,--,308,170,113,138,138,Algún campo sin dato,1,7ccc4206a18b8c48eb9bb8f3e43b3699abdd96398e7cbf294d0c6f5820136b2f,25/06/2023 22:06:07,ESCANER
8392,"Santa Rosa",6,"Cuilapa",1,983,308,2,2,1,1,59,--,--,18,--,3,--,--,2,1,--,--,1,1,--,2,--,--,93,9,3,105,0,105,--,308,203,93,105,105,Algún campo sin dato,1,b56a418628e80dcf7ee3e800fa5c695c9188764b8b12cd32dc05eda1d4872850,25/06/2023 23:15:07,ESCANER
