TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1178,1172,99.4906,1164,98.8115,8,451720,279477,61.8695

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PIN,TODOS,AZUL,PR,VALOR,UNE,VICTORIA,VAMOS,ELEFANTE,WINAQ,MLP,PPN,BIEN,UR,PHG,PPG,P A N,CREO,VOS,MI FAMILIA,VIVA,PODEMOS,FCN-NACION,CAMBIO,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7202,"Escuintla",5,"Escuintla",1,802,400,14,1,2,10,4,5,36,33,10,4,3,3,5,4,2,1,0,1,8,16,2,12,7,3,4,14,204,37,3,244,0,244,0,400,156,204,244,244,,1,edd024410205c37e200fce0a39081e08cb6b4291876eec10c688ed370d6ca545,26/06/2023 04:11:30,ESCANER
7203,"Escuintla",5,"Escuintla",1,803,400,7,0,5,11,1,9,38,21,16,5,2,3,2,4,3,0,1,0,2,10,1,19,6,1,1,13,181,37,4,222,0,222,--,401,179,181,222,222,Algún campo sin dato,1,126a189a6aaeb00b456a1b0234032c1fee61754d4bf2866514a20ff5298012b8,26/06/2023 03:23:28,ESCANER
7204,"Escuintla",5,"Escuintla",1,803,400,8,0,5,10,3,13,35,23,16,6,3,2,1,7,2,2,1,0,1,15,0,14,6,3,1,21,198,38,3,239,--,239,--,400,161,198,239,239,Algún campo sin dato,1,13938c8d957e182801d039e459f75f31c0684d58adb7e2e2555f4bc45f473f9a,26/06/2023 01:55:21,ESCANER
7205,"Escuintla",5,"Escuintla",1,803,400,8,0,5,11,2,3,46,36,8,11,5,1,2,2,4,0,1,3,3,13,2,19,8,4,1,15,213,42,9,264,136,400,--,400,136,213,264,400,Algún campo sin dato,1,d94b6f903fc339c0de4473a4c4eab89ef7171c1375097e0a0f3fc9eec012b9c3,26/06/2023 02:43:56,ESCANER
7206,"Escuintla",5,"Escuintla",1,803,400,10,1,5,9,3,18,25,25,12,8,7,6,4,5,2,0,0,0,0,23,2,16,7,0,2,21,211,40,6,257,0,257,--,400,143,211,257,257,Algún campo sin dato,1,25b960d9c16c54a338e6f4174a4928535aa97a119d1049971b693878a7c60618,26/06/2023 02:19:34,ESCANER
7207,"Escuintla",5,"Escuintla",1,803,400,10,0,4,13,1,10,20,27,10,7,8,1,1,4,2,0,1,2,0,14,0,18,12,7,5,14,191,47,4,242,0,242,--,400,158,191,242,242,Algún campo sin dato,1,efe14f920b50e0964660db2a9a3f95b74788b9e29c66dfa58c9db830a2ea83b7,26/06/2023 00:33:06,ESCANER
7208,"Escuintla",5,"Escuintla",1,803,400,14,1,2,11,1,5,30,28,21,9,1,3,4,6,3,0,1,0,1,11,2,7,9,2,3,27,213,37,2,252,0,252,--,397,145,202,241,241,Sumas Asentadas sin cuadrar,1,efaa89e78e76636b591eb22cbb2e52fa3c9f4501dfd5758d49fb2a35a4f319b1,25/06/2023 23:40:35,ESCANER
7209,"Escuintla",5,"Escuintla",1,804,400,9,1,4,8,1,5,25,38,12,6,4,5,2,9,3,1,0,1,4,20,3,14,8,4,2,20,209,35,8,252,0,252,0,398,145,209,252,252,,1,e298b6dd513bf431be0588dbf147fa61113b93b93bb8d2afbd70219837e22d77,26/06/2023 01:52:58,ESCANER
7210,"Escuintla",5,"Escuintla",1,804,400,7,1,3,11,3,18,34,34,10,7,6,3,4,10,1,0,2,1,4,13,2,16,11,2,5,14,222,35,4,261,0,261,--,401,140,222,261,261,Algún campo sin dato,1,80a2e6c1d29fcfdb34045b7b35baf81ca7a0e8f4ec910bce1ae13c5f55e6acbe,26/06/2023 01:37:45,ESCANER
7211,"Escuintla",5,"Escuintla",1,804,400,10,2,4,14,4,14,20,28,8,7,5,3,6,4,2,0,0,2,1,21,1,15,12,3,1,20,207,35,4,246,0,246,--,396,150,207,246,246,Algún campo sin dato,1,bfd86c4f9497d62c8c040efc0730dde1763e7416e723e9c25ee814824896c109,26/06/2023 02:00:51,ESCANER
7212,"Escuintla",5,"Escuintla",1,804,400,12,0,4,6,0,16,34,32,19,6,5,0,2,1,3,0,0,2,2,16,1,13,15,2,2,27,219,35,5,259,1,260,--,400,141,220,260,261,Sumas Asentadas sin cuadrar,1,13e0fb4495b9d3b3178829c0774687f1ab402fa196efb72ee60463b115f1c767,26/06/2023 02:40:48,ESCANER
7213,"Escuintla",5,"Escuintla",1,804,400,11,1,3,7,1,14,40,28,3,3,2,3,7,3,3,0,1,3,2,18,0,14,12,3,1,11,194,31,7,232,--,232,--,400,168,194,232,232,Algún campo sin dato,1,d37c4f1f3b61e7d42c9199c63385dcf9d42a70489acb41611771aacc0c9f55d5,26/06/2023 01:26:07,ESCANER
