TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1444,1432,99.1689,1428,98.8919,4,528945,339025,64.0945

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR UNIONISTA,TODOS,AZUL,VICTORIA,VAMOS,PIN,ELEFANTE,MLP,P A N,PPN,CABAL,WINAQ,BIEN,FCN-NACION,PHG,CREO,UR,PODEMOS,PR,U R N G - MAIZ,CAMBIO,MI FAMILIA,VIVA,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16723,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,27,7,4,2,--,29,--,--,8,--,1,27,8,--,2,5,2,2,--,9,5,--,1,19,13,19,190,65,9,264,--,264,--,400,136,190,264,264,Algún campo sin dato,1,5c3028a5a81d429c76828dbe021fc45499033460ab12f2e372c4b0a378086b00,25/06/2023 23:38:11,ESCANER
16724,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,22,13,4,3,2,35,1,2,4,--,3,13,9,2,2,2,7,4,--,3,12,--,2,29,18,25,217,61,17,295,105,400,--,400,105,217,295,400,Algún campo sin dato,1,8019c9c776f5524fee2e3d3eec5fe0de5bffb5df5f7d32c660ff08c12e5f6cd9,26/06/2023 00:46:58,ESCANER
16725,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,19,11,3,1,2,27,1,1,5,1,12,21,8,1,0,9,7,6,0,3,0,0,2,23,14,22,208,64,12,204,0,284,--,400,116,199,275,275,Sumas Asentadas sin cuadrar,1,ee61b0e6d6d45527b7fd574bf6cf09df9cd934efa0622041668c717311a35da4,26/06/2023 00:45:15,ESCANER
16726,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,32,9,3,6,3,26,1,2,3,1,4,20,9,2,0,5,8,3,5,5,5,2,2,15,12,21,204,62,18,284,0,284,--,410,112,204,284,284,Algún campo sin dato,1,4bfdfe43b2f6e6390d60ec58b3aae56b79e194cee62910bc7efe280ffa47eb8e,26/06/2023 04:46:44,ESCANER
16727,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,22,9,3,1,1,33,0,0,7,0,4,16,11,0,1,10,4,8,2,5,9,1,2,25,26,27,227,60,10,297,0,297,--,400,103,227,297,297,Algún campo sin dato,1,98d8feb277e120d99bc396205f42297c982221d2d9517f9d871cb90859cecbf5,26/06/2023 02:41:33,ESCANER
16728,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,21,17,8,2,3,26,1,2,4,1,7,21,5,3,0,11,5,11,4,3,12,0,3,23,16,22,231,70,0,301,0,301,--,400,99,231,301,301,Algún campo sin dato,1,4404d05d64932ec445cd3e688dbbf13fa8296e76316ac88e843a254d22b2ccf0,25/06/2023 23:15:27,ESCANER
16729,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,15,5,0,0,1,25,2,2,12,1,6,22,7,2,1,8,7,4,2,2,7,1,1,17,18,28,196,43,5,244,0,244,--,400,156,196,244,244,Algún campo sin dato,1,e4324970cab7a2a21a1daf57a3b4c0e9656829eb795165a928f5e1b4ad64fd0c,26/06/2023 00:13:27,ESCANER
16730,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,16,5,3,2,5,27,0,5,12,0,2,18,5,1,0,8,5,4,2,6,0,1,0,20,24,22,196,40,17,253,0,253,--,400,144,193,250,250,Sumas Asentadas sin cuadrar,1,0efce6bc11cb19525b60f6cbc26b23d7e8296ec007f296ff4fc9c474bebb2a2b,26/06/2023 00:01:54,ESCANER
16731,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,21,7,4,4,3,25,1,2,7,--,3,23,8,1,--,9,3,3,2,3,9,1,1,22,23,22,207,51,10,396,--,396,--,396,128,207,268,268,Sumas Asentadas sin cuadrar,1,bdb8a094b0601997e642a91592e0f0a16ec056c4b4f40171c385f6a5ece67f17,26/06/2023 02:40:20,ESCANER
16732,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,17,8,2,4,1,32,1,0,5,2,3,18,5,0,4,8,5,3,3,2,12,1,0,21,15,23,195,47,12,254,0,254,--,400,146,195,254,254,Algún campo sin dato,1,27bc790d0c6f12f836ab9a6c55003c6f12596a818aad5767111bfd1586555b4e,26/06/2023 01:31:16,ESCANER
16733,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,20,8,7,2,1,22,0,2,10,0,2,12,9,2,1,6,8,5,2,4,5,1,0,18,23,18,188,64,10,262,--,262,--,400,138,188,262,262,Algún campo sin dato,1,144ca73157fc41cd3d5171eb0a52ee9721d7d71a0fa3c01654d5ce043f588ef0,26/06/2023 00:16:22,ESCANER
16734,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,23,6,3,2,0,18,0,1,4,0,1,27,5,0,0,1,9,3,1,1,9,1,1,16,10,21,163,52,8,223,0,223,--,404,176,163,223,223,Algún campo sin dato,1,9f12bf1307bc6e66ffc0d9d5b2278a4eeb71a0b2c382e7f6b46597ee39c55a5f,25/06/2023 22:35:36,ESCANER
16735,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,22,2,1,4,1,24,0,1,4,--,3,17,10,--,1,7,5,5,2,2,10,--,1,19,13,22,176,43,15,--,--,--,--,400,166,176,234,234,Algún campo sin dato,1,fbf8333d6e2aea44caa18f435d6252cb653d44f8cbbeef48e9bdf6d81b3eb61d,26/06/2023 00:28:31,ESCANER
