TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
866,832,96.0739,829,95.7274,3,314283,202373,64.3919

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,AZUL,CABAL,VALOR,MLP,UNE,P A N,VICTORIA,TODOS,VAMOS,ELEFANTE,PHG,PPN,MI FAMILIA,BIEN,PR,U R N G - MAIZ,PODEMOS,CREO,FCN-NACION,CAMBIO,UR,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11767,"Suchitepéquez",10,"Mazatenango",1,1582,400,26,5,10,5,2,24,1,7,18,14,11,8,10,1,8,1,4,1,0,0,5,0,10,14,185,54,0,239,0,239,--,399,160,185,239,239,Algún campo sin dato,1,1cdf23c25f61942fabe13bca63408044f342b28114c1d44ffb4610cf81725505,26/06/2023 03:17:21,ESCANER
11768,"Suchitepéquez",10,"Mazatenango",1,1582,400,19,3,12,8,2,28,2,14,21,18,9,5,8,0,7,0,6,8,2,0,3,2,12,13,202,37,7,246,0,246,--,400,154,202,246,246,Algún campo sin dato,1,c3859d1196db8e30895dd112ab8936ad9b21bcd83c934ff20f33c550d7b11e28,26/06/2023 02:39:08,ESCANER
11769,"Suchitepéquez",10,"Mazatenango",1,1582,400,19,5,11,10,4,23,3,9,30,13,11,8,14,1,11,0,4,4,2,1,1,1,13,11,209,34,18,261,1,262,0,400,138,209,261,262,,1,30a807411b9694c935af654915b413375d86e393a30b603448f06e3453018a19,26/06/2023 02:58:30,ESCANER
11770,"Suchitepéquez",10,"Mazatenango",1,1582,400,19,7,10,11,0,20,1,19,35,14,12,5,11,1,5,0,9,5,0,0,2,1,12,20,269,47,0,269,3,269,--,378,109,219,266,269,Sumas Asentadas sin cuadrar,1,2579845972b27341bb4735edc965a99486fe23437175c192f2d06c1e5b283f7b,26/06/2023 03:19:55,ESCANER
11771,"Suchitepéquez",10,"Mazatenango",1,1582,400,25,7,25,13,4,26,3,9,27,20,9,2,15,1,10,0,9,4,0,2,4,1,11,19,246,39,9,294,0,294,--,400,106,246,294,294,Algún campo sin dato,1,4b96c30afaabd08bbc6d2ec77f6cec33851256da3bd95ee96184b8af35e9c5b2,26/06/2023 02:29:24,ESCANER
11772,"Suchitepéquez",10,"Mazatenango",1,1582,400,19,10,10,11,5,22,2,12,26,20,12,4,11,1,8,0,7,0,1,2,2,2,8,22,217,42,6,265,0,265,--,400,135,217,265,265,Algún campo sin dato,1,4f93f3290288a166625d936ae031625ec845b8d68ab1f4bb1f0d2599b1750ea4,26/06/2023 01:09:49,ESCANER
11773,"Suchitepéquez",10,"Mazatenango",1,1582,400,18,7,12,11,4,24,1,11,29,22,17,3,5,0,7,4,9,5,0,0,3,0,4,21,217,41,15,273,0,127,--,--,--,217,273,273,Sumas Asentadas sin cuadrar,1,47a09e5c2ee6b4d79cc923d63c90267705bfc6c7f3644a05c400dae824753354,26/06/2023 03:43:04,ESCANER
11774,"Suchitepéquez",10,"Mazatenango",1,1582,400,20,8,19,7,8,24,2,17,31,17,9,6,10,2,7,0,7,6,0,0,1,1,7,16,225,40,7,272,0,272,--,400,128,225,272,272,Algún campo sin dato,1,8d19ef95bdd5c7ece7ed15c4f589ca1f1dc0e2aa9a4e3bd8ea5f2c4a41cba807,26/06/2023 03:32:32,ESCANER
11775,"Suchitepéquez",10,"Mazatenango",1,1582,400,15,11,12,10,2,23,1,12,27,28,9,6,9,1,5,1,7,2,2,0,5,3,6,11,208,48,9,265,0,265,--,400,135,208,265,265,Algún campo sin dato,1,d2fba2f098db6a5e5b1d17c169d0a8778346eb9ce266ace17325f654b43ddd24,26/06/2023 03:40:43,ESCANER
11776,"Suchitepéquez",10,"Mazatenango",1,1582,400,20,8,11,13,2,22,2,9,28,21,10,6,10,2,4,0,6,4,0,1,7,0,3,22,211,37,7,255,0,255,3,393,135,211,255,255,,1,a3865cc10363af18a1fe5b16dd1746b012ad854bb6ce3f41d53210561ff45f9e,26/06/2023 03:36:44,ESCANER
