TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
509,503,98.8212,503,98.8212,0,189734,108927,57.4103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,CREO,PODEMOS,WINAQ,MLP,P A N,ELEFANTE,PPN,VAMOS,FCN-NACION,UNE,VICTORIA,UR,VIVA,VALOR,MI FAMILIA,PHG,CAMBIO,U R N G - MAIZ,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23091,"Jalapa",21,"Jalapa",1,3629,400,54,6,8,12,2,1,2,3,0,2,0,30,1,15,7,7,10,28,0,0,4,0,18,210,29,15,254,0,254,--,400,146,210,254,254,Algún campo sin dato,1,992e16fdeb7af2fd008417588a85c6e418945c7e3c19d12660eb10ab36c7ec15,26/06/2023 00:00:45,ESCANER
23092,"Jalapa",21,"Jalapa",1,3629,400,48,8,3,15,4,1,2,3,0,1,1,25,0,15,8,11,6,44,1,0,4,0,11,211,33,8,252,0,252,--,--,--,211,252,252,Algún campo sin dato,1,b72816d82d641b01933d61e5a881bb0382613fdfcf28296f41ea21e5b5873279,26/06/2023 00:25:07,ESCANER
23093,"Jalapa",21,"Jalapa",1,3629,400,41,8,6,9,3,0,0,1,0,2,2,29,0,20,7,4,7,42,0,1,4,3,15,204,44,8,256,0,256,--,400,144,204,256,256,Algún campo sin dato,1,c1c063b7eadef9b6a4dacef6b309abbbe7c08cd2dca20ac82a670bfaa416c7e2,26/06/2023 02:08:36,ESCANER
23094,"Jalapa",21,"Jalapa",1,3630,400,51,12,6,17,3,0,0,2,0,0,1,29,1,19,8,10,12,30,1,1,6,3,14,229,26,6,258,0,258,--,400,142,226,258,258,Sumas Asentadas sin cuadrar,1,4f80a4cb867c8b6fd1d3f7f17fd85f0b0cd3a90c7a62e0ab613c9ce6f64b0503,26/06/2023 01:04:17,ESCANER
23095,"Jalapa",21,"Jalapa",1,3630,400,45,7,4,13,2,0,1,1,0,3,4,27,0,22,4,9,6,34,0,0,5,2,12,201,28,6,235,7,242,--,400,158,201,235,242,Algún campo sin dato,1,4f06309f85320bcd5d7e563c41885882920802c4b4260a5d7b465ee3271507c9,26/06/2023 01:18:29,ESCANER
23096,"Jalapa",21,"Jalapa",1,3630,400,49,5,4,14,0,0,0,1,0,0,4,24,0,14,4,10,6,37,2,1,1,1,10,187,32,8,227,0,227,--,400,173,187,227,227,Algún campo sin dato,1,6b8c8e88d23db27c8ff8eb309ee66308d4f14896bd55acc655cfcb7f9b659f11,25/06/2023 23:56:30,ESCANER
23097,"Jalapa",21,"Jalapa",1,3630,400,43,8,3,14,4,1,1,1,0,0,4,23,0,16,7,4,4,38,1,0,4,1,18,195,27,10,232,0,232,--,400,165,195,232,232,Algún campo sin dato,1,293fdaef4cf1955c83ff494ba0ed63cb8904399dbf221dcd17313e7792dbe6e5,26/06/2023 00:46:54,ESCANER
23098,"Jalapa",21,"Jalapa",1,3630,400,26,4,5,6,6,1,2,2,2,0,1,25,0,10,3,6,8,42,1,0,1,0,14,165,26,3,194,0,194,--,400,206,165,194,194,Algún campo sin dato,1,74446c589f6023d146c23e2b5c7dde9aee4b69a94c77dced6ecadf6205ff6903,25/06/2023 23:44:47,ESCANER
23099,"Jalapa",21,"Jalapa",1,3630,400,44,4,3,12,0,0,1,4,0,3,4,29,0,16,8,6,6,34,0,0,2,2,17,195,28,4,227,0,227,--,393,166,195,227,227,Algún campo sin dato,1,7eade541d879b31efd2d0f88d073ba51aea31ad3d1d4ff3779e5058e20f126f9,26/06/2023 00:21:03,ESCANER
23100,"Jalapa",21,"Jalapa",1,3631,400,21,1,3,13,1,0,0,7,0,3,2,23,1,15,2,5,8,37,0,0,5,0,24,171,21,2,194,0,194,--,400,206,171,194,194,Algún campo sin dato,1,3e406cc961342782f129db10da0ca3800fdcc854ab55d58da66a5ae4566a6a12,25/06/2023 22:49:34,ESCANER
23101,"Jalapa",21,"Jalapa",1,3631,400,38,3,7,5,1,0,0,1,1,1,0,28,0,14,7,7,5,42,0,0,1,4,32,197,17,6,220,0,220,--,--,--,197,220,220,Algún campo sin dato,1,d01d23ccbc19758a0239c93ee81f7d28cfc9c8ee1696ef569a97ad858c002930,25/06/2023 23:16:17,ESCANER
23102,"Jalapa",21,"Jalapa",1,3631,400,45,5,3,12,3,0,0,1,0,1,1,32,0,10,5,6,4,50,0,1,3,1,48,231,20,0,251,0,251,--,400,149,231,251,251,Algún campo sin dato,1,2112f493aa01c8026528d6396b5a277b388be29e0dd192881eb46121ecc6068d,25/06/2023 23:53:17,ESCANER
23103,"Jalapa",21,"Jalapa",1,3631,400,32,9,0,10,1,0,1,6,1,0,1,32,0,13,10,8,8,52,1,0,1,0,28,214,12,4,230,0,230,--,398,168,214,230,230,Algún campo sin dato,1,cc31a554b4c460714147034553af39aa1a5d58337eef7a0ad8d02bc9ae2dc1b9,25/06/2023 23:07:44,ESCANER
23104,"Jalapa",21,"Jalapa",1,3631,400,39,3,4,5,3,0,0,7,0,3,0,24,0,15,3,7,8,37,1,1,1,0,30,191,14,9,0,0,214,--,403,189,191,214,214,Algún campo sin dato,1,3006a89e389756f569ff304294c478ab98dc0ed4eb0f2b66ac16ac6c6c52e43a,26/06/2023 04:53:07,ESCANER
23105,"Jalapa",21,"Jalapa",1,3631,359,18,5,3,9,3,0,0,4,1,0,0,20,0,22,2,6,7,39,1,0,3,2,13,158,8,4,170,0,170,--,359,189,158,170,170,Algún campo sin dato,1,fe3fc81d77d0a3129182ac47b63d078964e96f6a0757a4889290475fe95fd0b2,25/06/2023 22:06:13,ESCANER
23106,"Jalapa",21,"Jalapa",1,3631,358,21,6,3,5,0,1,0,2,0,0,2,15,0,14,5,7,4,31,1,0,1,0,11,129,15,6,150,0,150,--,358,208,129,150,150,Algún campo sin dato,1,93f14a81e8fa55d59ccd2aa3eba89bd2f98721e5ba091c5df7397372971aaff7,25/06/2023 23:59:23,ESCANER
23107,"Jalapa",21,"Jalapa",1,3632,202,26,2,6,5,1,0,0,1,0,0,2,12,0,7,1,1,5,18,0,2,0,1,8,98,16,3,117,0,117,--,202,85,98,117,117,Algún campo sin dato,1,e3f7f27773d87bb207e8fe6d96d2ef4d52329a8f71fec4ecbad404771983d565,25/06/2023 22:09:11,ESCANER
23108,"Jalapa",21,"Jalapa",1,3633,400,40,18,9,7,2,0,0,1,0,0,0,32,0,18,4,9,3,48,0,1,3,2,16,213,35,11,259,0,259,--,400,141,213,259,259,Algún campo sin dato,1,062fb5e6c1f1ff5646af166f5d6ec2242eceefd6e41e1c025c467abbdf2d0abd,26/06/2023 02:32:58,ESCANER
23109,"Jalapa",21,"Jalapa",1,3633,400,34,15,6,9,1,0,2,1,0,1,0,39,1,15,5,17,0,49,0,0,0,1,18,257,34,8,299,0,299,--,397,143,214,256,256,Sumas Asentadas sin cuadrar,1,078b03afa0b2dc0489fc7551d82377523d2a8ca854d0e46fdf8c21cdb35495fe,26/06/2023 00:25:23,ESCANER
23110,"Jalapa",21,"Jalapa",1,3633,400,51,16,6,10,1,0,2,2,0,1,0,28,0,21,6,11,1,44,0,2,2,1,23,228,34,7,269,0,269,--,400,131,228,269,269,Algún campo sin dato,1,4eba597df9c79fa640786fbc9bbc9144434a3d0822e3244de723ed2b1cbd151f,26/06/2023 01:56:45,ESCANER
