TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9078,"Sololá",7,"Sololá",1,1107,400,97,5,13,4,42,0,2,24,0,10,1,3,1,4,0,0,2,14,1,6,10,0,239,24,15,278,0,278,--,400,122,239,278,278,Algún campo sin dato,1,dbec8f644ddd5ea4f9f9958201a6098c92d29d37d9056f78051c5e284e3b96ee,26/06/2023 02:12:25,ESCANER
9079,"Sololá",7,"Sololá",1,1107,400,92,0,12,2,49,0,2,31,1,10,1,2,3,2,0,0,0,32,2,12,4,0,257,20,10,287,0,0,1,400,113,257,287,287,,1,753810c7b1ee2d1abb3d651e7fc7650ffb385d807eea86927be43d2ea24f683d,26/06/2023 02:32:42,ESCANER
9080,"Sololá",7,"Sololá",1,1108,400,94,2,8,4,46,1,7,27,0,8,0,1,4,1,1,0,2,20,0,10,7,0,243,26,7,276,0,276,--,400,123,243,276,276,Algún campo sin dato,1,e100c212faeb654eee38caa0c7c334863864ab8892ce7de7cf5e0ec365f501b9,26/06/2023 02:37:45,ESCANER
9081,"Sololá",7,"Sololá",1,1109,400,116,0,12,3,33,0,3,18,0,3,0,2,4,0,0,1,0,10,2,11,6,0,224,19,32,258,0,275,--,400,125,224,275,275,Sumas Asentadas sin cuadrar,1,48efd33ace4b8d55a25361ab2416b4540a22ad8339ed4c5003c768fed6a35ec5,26/06/2023 00:26:15,ESCANER
9082,"Sololá",7,"Sololá",1,1109,245,70,1,3,2,19,1,2,11,0,2,0,1,1,2,0,0,0,15,0,9,3,1,143,18,4,165,0,165,--,245,80,143,165,165,Algún campo sin dato,1,a3677bf6fdcc863bd2a92486835e09a5f4001bcf6415ff9e1bf0dc9fc8c463cb,26/06/2023 00:09:07,ESCANER
9083,"Sololá",7,"Sololá",1,1109,244,68,3,8,0,34,1,4,10,0,1,0,2,0,2,0,0,0,8,0,6,1,0,148,20,12,180,0,180,--,246,66,148,180,180,Algún campo sin dato,1,70c9e47a76eea9502c14e4d48528bf94b1fa6f26f309a0ed5ddf14ed8d92e457,25/06/2023 23:46:55,ESCANER
9084,"Sololá",7,"Sololá",1,1110,400,81,1,14,3,39,1,2,106,0,1,2,2,1,1,0,0,2,2,1,6,0,0,265,26,28,319,0,319,--,400,81,265,319,319,Algún campo sin dato,1,752048d815bcb8c49007dda16a21ae6be0a0fad2d5d3cf2c43e04f91f879d52a,26/06/2023 00:03:22,ESCANER
9085,"Sololá",7,"Sololá",1,1110,400,76,2,2,4,56,2,3,108,0,2,1,0,3,0,0,0,0,3,1,8,4,0,275,22,37,334,0,334,--,400,66,275,334,334,Algún campo sin dato,1,287007d596719446af4b019b5cf26f1558b0bbc0368d182de4405a10af487689,25/06/2023 23:24:19,ESCANER
9086,"Sololá",7,"Sololá",1,1110,400,78,1,17,4,35,1,0,114,0,1,2,0,0,1,0,0,1,2,0,5,1,0,263,31,50,344,0,344,--,56,--,263,344,344,Algún campo sin dato,1,8f584371967b042bae9615142523700676f85258d109fd5638b9fb2cf7545c63,26/06/2023 02:58:48,ESCANER
9087,"Sololá",7,"Sololá",1,1110,400,92,0,9,4,41,0,0,107,0,0,3,2,4,4,0,1,4,3,0,2,3,0,279,20,25,324,0,324,--,400,76,279,324,324,Algún campo sin dato,1,c6b49fb29e6a184d89813bedf354bfb366587a7695c76ee9cf30ae1fa3d07f6b,25/06/2023 23:45:33,ESCANER
9088,"Sololá",7,"Sololá",1,1110,400,71,1,9,5,43,2,0,101,0,1,0,2,2,2,1,1,6,1,1,8,3,0,260,25,39,324,0,324,--,400,76,260,324,324,Algún campo sin dato,1,5b639943a00245d315040d68bb5c3633b8b62efe232cf60d6c627003dc61c0b6,26/06/2023 01:46:48,ESCANER
9089,"Sololá",7,"Sololá",1,1110,400,71,0,4,4,46,0,4,85,0,2,1,0,2,2,2,0,2,3,1,4,1,0,234,28,77,337,0,339,--,400,61,234,339,339,Sumas Asentadas sin cuadrar,1,677ef6199d338f705b2e0eadeb35c5e850b96f0580072edeb156344f5ccf5708,26/06/2023 01:37:17,ESCANER
9090,"Sololá",7,"Sololá",1,1110,400,79,3,7,2,49,0,5,94,0,0,0,0,3,5,0,0,2,0,0,6,0,1,256,22,44,322,0,322,--,400,78,256,322,322,Algún campo sin dato,1,dd31bb4af35b92625e70c5890b0493fd634d2a03b315c61ec3fb8c21bf297cd6,26/06/2023 01:19:35,ESCANER
9091,"Sololá",7,"Sololá",1,1110,400,66,0,8,5,58,0,1,113,0,0,1,0,0,4,1,1,2,2,0,13,0,0,275,20,37,332,0,332,--,400,68,275,332,332,Algún campo sin dato,1,7d1cfc3cbcf5104b253c57584ebcecb9669ac73b01d784544396a7d4dede0f67,26/06/2023 01:03:51,ESCANER
9092,"Sololá",7,"Sololá",1,1110,400,44,1,7,1,57,2,1,116,1,0,0,0,2,9,0,0,0,6,1,1,2,0,251,25,46,322,0,322,--,400,78,251,322,322,Algún campo sin dato,1,9fe5adcc29a15334e8c5341be8acb3055f34ec004099601c4207370b1dd1b3e8,26/06/2023 03:07:14,ESCANER
9093,"Sololá",7,"Sololá",1,1110,400,94,1,7,4,46,1,1,96,0,1,2,2,1,2,0,0,0,5,0,4,2,1,270,34,27,331,0,331,--,400,69,270,331,331,Algún campo sin dato,1,21edd5b44ca16a9ed1796370b82f51b35563cce15fa779436e021080eb3f4deb,26/06/2023 00:28:05,ESCANER
9094,"Sololá",7,"Sololá",1,1110,400,78,3,23,2,47,0,2,103,0,2,0,0,1,6,1,0,5,1,2,5,1,1,283,26,39,348,0,348,--,400,52,283,348,348,Algún campo sin dato,1,249fe5a2dd9a6c66afb32cb8e5c4849b49b45c60af1e4868a7288ee3e7f197c7,26/06/2023 00:40:02,ESCANER
