TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
877,877,100.0000,875,99.7719,2,324499,174813,53.8716

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,PHG,TODOS,VALOR UNIONISTA,CABAL,UNE,URNG-MAIZ WINAQ,VAMOS,PIN,ELEFANTE,PPN,MLP,AZUL,BIEN,VICTORIA,UR,P A N,PODEMOS,MI FAMILIA,CAMBIO,FCN-NACION,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20374,"Petén",17,"Flores",1,3170,380,9,0,2,8,17,18,1,22,0,0,21,2,0,3,0,1,0,0,2,25,0,4,135,27,27,189,0,189,--,381,192,135,189,189,Algún campo sin dato,1,797f1787fab265e191cd01f2bbba74f48a9e484b73b1cb4633f3c7c5c7dd89a6,25/06/2023 22:31:20,ESCANER
20375,"Petén",17,"Flores",1,3170,380,12,1,6,6,26,24,0,24,0,0,27,1,0,1,0,0,0,1,0,25,0,1,155,15,28,198,0,198,--,380,182,155,198,198,Algún campo sin dato,1,563dd9dad50afb414f9c31d9711acd47c72c69c13a650434f714e6cd3af7d0f9,25/06/2023 23:31:52,ESCANER
20376,"Petén",17,"Flores",1,3170,380,10,0,3,1,20,28,1,21,0,0,13,4,1,5,2,1,1,0,0,35,0,0,146,34,32,212,0,212,--,380,168,146,212,212,Algún campo sin dato,1,f938dcf5cfc73e0c3e4dc78944e42f763e2c8ce8da4f01aa1502550c58c8589d,25/06/2023 23:41:09,ESCANER
20377,"Petén",17,"Flores",1,3171,380,12,0,2,6,23,32,0,19,0,1,15,0,1,5,0,0,1,0,1,38,0,2,158,31,24,210,0,210,1,380,169,158,213,213,Sumas Asentadas sin cuadrar,1,072de3d8d2b951732c1dafbfbd8c46e3e8ca61d86650482eaba8e7a07888d1e1,26/06/2023 00:04:00,ESCANER
20378,"Petén",17,"Flores",1,3171,380,8,0,1,4,16,28,1,13,0,0,18,2,0,7,0,0,1,0,0,26,0,2,127,22,23,172,0,172,--,380,208,127,172,172,Algún campo sin dato,1,b46b2099629d279f7de2dd02189bf7584f521d60cf1b4f88a6d2c851da0b36f9,25/06/2023 23:31:19,ESCANER
20379,"Petén",17,"Flores",1,3171,380,7,0,3,5,24,28,0,12,0,0,17,0,0,0,0,0,0,0,0,31,0,4,136,22,13,171,0,171,--,379,208,131,166,166,Sumas Asentadas sin cuadrar,1,2cbbd513a56d915fcb59ddd25a51724bba3bbe1acda615bdb1b89afb222d51e5,25/06/2023 22:12:30,ESCANER
20380,"Petén",17,"Flores",1,3172,288,5,0,1,1,17,15,0,14,0,1,22,1,0,4,1,0,1,0,1,29,0,5,118,15,3,136,0,136,--,288,152,118,136,136,Algún campo sin dato,1,3a61fcfa88b6a2ab60de1635bf3d43650e45d1e6c2b7888328e37a4b41f969c5,25/06/2023 23:42:15,ESCANER
20381,"Petén",17,"Flores",1,3172,288,3,0,1,2,17,20,0,7,1,0,8,1,2,6,1,0,0,0,0,17,0,4,90,11,8,110,0,110,1,288,178,90,109,109,Sumas Asentadas sin cuadrar,1,f986c8849cccf93286426083cb26442767f5282a1ff95ef698f5429f054d64ce,25/06/2023 23:49:24,ESCANER
20382,"Petén",17,"Flores",1,3173,380,11,0,3,1,16,28,0,14,1,0,32,15,5,11,2,2,0,0,0,27,0,4,172,49,27,248,0,248,--,380,132,172,248,248,Algún campo sin dato,1,ca6d755e8d7eec7459254f348f7d2c812026157caad2bc6316742f3f77c9dc4d,26/06/2023 00:56:50,ESCANER
20383,"Petén",17,"Flores",1,3173,380,14,0,0,2,22,17,4,13,0,1,37,4,5,10,1,2,0,0,0,32,0,7,171,45,26,242,0,242,--,380,138,171,242,242,Algún campo sin dato,1,adb070bf46b7df93f747718ad7d3751970fd18149b959eae4ade263ab0790f3d,26/06/2023 00:13:29,ESCANER
20384,"Petén",17,"Flores",1,3173,380,14,1,0,4,15,24,1,8,2,0,39,10,2,10,1,0,0,0,0,24,0,4,159,37,19,215,0,215,--,380,165,159,215,215,Algún campo sin dato,1,5f599058bd7c84393bae6070f75cb52f147d6749be05b08b382a3ce1ea4e2ca2,26/06/2023 01:20:16,ESCANER
20385,"Petén",17,"Flores",1,3173,380,11,0,3,4,11,23,4,18,0,0,33,9,4,13,0,0,0,1,0,26,0,5,165,40,21,226,0,226,--,379,153,165,226,226,Algún campo sin dato,1,ae92d9cb4df3f9dcd25e4a4d09c77446a3dc9193d393ae59a2e008816e6dfcb7,26/06/2023 01:34:26,ESCANER
20386,"Petén",17,"Flores",1,3173,380,12,3,4,5,18,26,1,11,1,0,41,10,8,8,2,0,2,0,2,32,1,2,189,37,18,244,0,244,--,380,136,189,244,244,Algún campo sin dato,1,99f51747c931d22cfcb5a1e4fdcb15f3f15640547423bdeab06b5ffeb88d3eef,25/06/2023 23:56:49,ESCANER
20387,"Petén",17,"Flores",1,3173,380,10,0,1,2,34,21,2,14,0,1,43,10,5,7,0,2,0,0,2,31,0,5,190,39,24,253,0,253,--,377,124,190,253,253,Algún campo sin dato,1,e9d4a0ff5c6f0b5196b5a90d47816990341c42091d76ceae399ee2f92b156511,26/06/2023 01:05:19,ESCANER
20388,"Petén",17,"Flores",1,3173,380,6,0,2,0,21,20,1,11,0,2,33,6,4,12,0,0,0,2,0,34,0,3,157,26,29,212,0,212,--,380,168,157,212,212,Algún campo sin dato,1,7b62160807a86eeaefdb58d6c8abe1a1152f9fd5ffa380c47e0a64a88d4e84d2,25/06/2023 23:25:48,ESCANER
20389,"Petén",17,"Flores",1,3174,380,18,0,4,2,9,16,3,16,2,0,28,14,6,6,1,2,0,1,0,23,1,0,152,32,29,152,0,152,--,380,167,152,213,213,Sumas Asentadas sin cuadrar,1,4c750a0fa0ddec13e5370a96944390d2fcb98309b37709e92f1640358cb46768,26/06/2023 01:25:15,ESCANER
