TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,72,98.6301,1,26289,16750,63.7148

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CAMBIO,MORENA,VAMOS,PIN,RENOVADOR,VALOR,AZUL,UNE,FCN-NACION,PODEMOS,UC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6948,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,3,4,0,47,0,35,39,9,8,1,1,8,155,21,4,180,0,180,--,380,200,155,180,180,Algún campo sin dato,1,1d5fe62302cb0859f74cc5bc3ae56d850a799e3ccc950f35f5314e7047fe32ca,25/06/2023 23:58:02,ESCANER
6949,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,8,1,1,60,0,33,41,7,4,0,1,5,161,10,4,175,0,175,--,380,205,161,175,175,Algún campo sin dato,1,94b1b768308fbd01107f96192340775cb556e6fa8eaba0a69b5f90c94aa32396,26/06/2023 01:59:30,ESCANER
6950,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,2,1,0,56,0,45,48,1,3,1,0,11,168,8,1,177,0,177,--,380,203,168,177,177,Algún campo sin dato,1,355ccbd9650ae2b123196c62fcba78a7c7f5feb284bea47d1d55b6403474fdc1,26/06/2023 01:40:57,ESCANER
6951,"El Progreso",4,"San Agustín Acasaguastlán",3,760,226,1,2,0,31,1,30,27,4,2,0,0,10,108,6,1,115,0,115,--,223,108,108,115,115,Algún campo sin dato,1,90ecefcb5962e30c66f86d7efa4b826ad029007d0ede7f4577144a914f1baf97,25/06/2023 23:43:46,ESCANER
6952,"El Progreso",4,"San Agustín Acasaguastlán",3,760,225,2,1,1,28,0,27,21,3,2,0,2,4,91,9,4,104,0,104,--,225,121,91,104,104,Algún campo sin dato,1,f91da9b12b975f2eeaf37983774c7a8ea9da04c5d046f6c8ea5d423b8a2821ea,26/06/2023 00:32:59,ESCANER
6953,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,4,10,51,67,1,33,37,3,4,1,9,1,221,13,3,237,0,237,--,380,143,221,237,237,Algún campo sin dato,1,738c9a8489ad102d5deed83dd7b85a960819cd3cb90daac482972bd852f2e646,25/06/2023 22:52:05,ESCANER
6954,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,2,9,48,53,1,35,46,0,6,0,6,1,207,17,7,231,0,231,--,381,150,207,231,231,Algún campo sin dato,1,71b806c1fbb984c8240b74045d223fad308eee9bfbe2b6eab118602569d15fe2,25/06/2023 23:40:16,ESCANER
6955,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,6,13,28,65,1,36,59,3,2,1,3,0,217,30,3,250,0,250,--,380,130,217,250,250,Algún campo sin dato,1,5628808ac6a389753adc22736760a76397d0cd4859d820e320c18c7443d98b57,26/06/2023 00:58:07,ESCANER
6956,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,1,6,46,66,2,27,48,1,4,0,5,0,206,17,7,230,0,230,--,--,--,206,230,230,Algún campo sin dato,1,a22a1141f454e842c97a4395ca923cdf67c042539f3786b6ec9eec39fd6b12a4,25/06/2023 23:50:34,ESCANER
6957,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,1,17,44,53,1,36,63,--,9,--,8,1,233,19,3,255,0,255,--,380,125,233,255,255,Algún campo sin dato,1,7ab896f97d7c19e14145ef70298f9d5868a807da03e20b59bc96f32cd61e876b,26/06/2023 02:24:58,ESCANER
6958,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,4,13,32,55,1,24,44,0,1,0,8,0,182,12,2,196,0,196,--,380,184,182,196,196,Algún campo sin dato,1,b4c5ff9e9df10b68e191b1cbb28a4beb329bd73604a1915946287e395a9eb994,26/06/2023 00:41:12,ESCANER
6959,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,0,16,47,55,1,28,36,0,10,1,9,0,203,18,5,226,0,226,--,380,154,203,226,226,Algún campo sin dato,1,851c8f299062ab77b7e0f0c378444659b9b6c10242a80b5b34b812c2dceb081c,26/06/2023 00:49:36,ESCANER
6960,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,2,13,56,58,0,33,45,1,4,2,6,0,220,15,8,243,0,243,--,380,137,220,243,243,Algún campo sin dato,1,4e1306ff88c6820db090d018855b392d57f2eaa0a35f9bbf584acf9d36c25666,26/06/2023 01:59:40,ESCANER
6961,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,4,9,61,36,0,34,43,0,7,2,7,1,204,9,8,221,0,221,--,380,159,204,221,221,Algún campo sin dato,1,8d94198453069d199fbddf4bc34841e38e44832551ca750356a540595b75696b,26/06/2023 00:20:06,ESCANER
6962,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,2,8,55,35,0,24,40,0,1,2,3,0,170,15,2,187,0,187,--,380,193,170,187,187,Algún campo sin dato,1,a140281da5fa0b748ecf80c57b6276a1d1b9f603c0d0afb687c7615cd5b7fee6,25/06/2023 23:15:51,ESCANER
6963,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,4,20,36,38,1,18,50,0,3,0,2,1,173,12,3,188,0,188,--,380,192,173,188,188,Algún campo sin dato,1,4f6d6f208055c6e7a5077bd4038fdf86c766a0e19af4f4d7b6ae52c7ba9a8ca1,25/06/2023 23:32:28,ESCANER
6964,"El Progreso",4,"San Agustín Acasaguastlán",3,761,380,4,12,44,55,1,31,57,0,4,0,6,0,214,4,2,220,0,220,--,380,160,214,220,220,Algún campo sin dato,1,0e1e7af9c91d36b9aa1be3297a6fb9a68c4e6881f370cebc7b69ae44e9afeaff,26/06/2023 01:12:37,ESCANER
6965,"El Progreso",4,"San Agustín Acasaguastlán",3,761,227,2,4,27,35,0,18,26,0,1,0,2,0,115,6,2,123,0,123,--,227,104,115,123,123,Algún campo sin dato,1,b4547a2383f38269cb4ff4d0c347475985828092537bec0b49cd7ea7ce00fa89,25/06/2023 22:35:17,ESCANER
6966,"El Progreso",4,"San Agustín Acasaguastlán",3,761,227,2,5,20,20,0,21,26,0,1,0,0,0,95,5,1,101,0,101,--,227,126,95,101,101,Algún campo sin dato,1,f2913f88e9af0bfe7576e3aa1c2815417738e251b6cc8d573475539488652678,25/06/2023 22:43:19,ESCANER
6967,"El Progreso",4,"San Agustín Acasaguastlán",3,762,600,5,4,9,25,3,62,47,1,6,0,3,2,167,17,6,190,0,190,--,603,413,167,190,190,Algún campo sin dato,1,0c6fee41892d2a4dc63e8ffa2ca0aa18b4b5931bf92e0bc053f954267ec5cd1c,25/06/2023 23:08:55,ESCANER
6968,"El Progreso",4,"San Agustín Acasaguastlán",3,762,305,1,5,1,8,1,24,23,3,3,0,2,0,71,8,0,79,0,79,--,305,226,71,79,79,Algún campo sin dato,1,e3154b8a4baaaff1f6981ac104141ca3ca725d2a256b4c4106ad924832c02a5d,25/06/2023 21:59:53,ESCANER
6969,"El Progreso",4,"San Agustín Acasaguastlán",3,762,304,1,3,3,7,0,13,6,0,1,0,0,0,34,0,0,34,0,34,--,304,270,34,34,34,Algún campo sin dato,1,e270adda6f43d84087bef97b8c219237274359d1a837ecb3ac651605c4cc3c2b,25/06/2023 21:31:01,ESCANER
