TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,27716,18817,67.8921

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,BIEN,UNE,CABAL,MLP,VAMOS,P A N,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7080,"El Progreso",4,"Sanarate",7,787,212,3,0,63,46,1,33,0,0,9,155,1,0,156,0,156,0,212,53,155,156,156,,1,4619c7847bcb3cb0c5bde43467e5f8934f46c2872a47d64f6a199d55c9b80a3e,25/06/2023 22:49:55,ESCANER
7081,"El Progreso",4,"Sanarate",7,787,211,4,1,51,54,1,30,0,0,5,146,2,0,148,0,148,--,211,63,146,148,148,Algún campo sin dato,1,e5a21cb2b77ac43aab4222a63390b3040513d64c92beff48b86fbd7107cdef04,25/06/2023 23:42:22,ESCANER
7082,"El Progreso",4,"Sanarate",7,788,380,3,3,98,33,1,118,1,--,19,276,7,1,284,--,284,--,380,96,276,284,284,Algún campo sin dato,1,09bc902a7a8134f871de122b84fb5606e8e66663f57dcebecb5e22b1c9597fbc,26/06/2023 00:11:28,ESCANER
7083,"El Progreso",4,"Sanarate",7,788,380,8,1,69,51,0,136,0,0,16,281,11,1,293,0,293,--,380,87,281,293,293,Algún campo sin dato,1,93142795d460cd4a8853ba5dee63266e6ed08ffeea710199bedff667b5ebec27,25/06/2023 23:54:38,ESCANER
7084,"El Progreso",4,"Sanarate",7,788,380,3,2,71,54,2,129,0,1,11,273,6,0,279,0,279,--,392,113,273,279,279,Algún campo sin dato,1,771b8f0338c8ed6b16dc337350a75ac82243cd0d3dff5489086d5540f8665011,26/06/2023 00:39:05,ESCANER
7085,"El Progreso",4,"Sanarate",7,788,380,7,5,79,40,2,118,0,2,9,262,6,1,269,0,269,--,380,111,262,269,269,Algún campo sin dato,1,5dc5303ea9e7ccc799a4c2486f1c68271614a328c667845050f99b32bd205ca3,25/06/2023 23:16:58,ESCANER
7086,"El Progreso",4,"Sanarate",7,788,278,3,3,53,32,3,88,0,2,8,192,3,0,195,0,195,--,278,83,192,195,195,Algún campo sin dato,1,55f1218ef64070e4b2f165bcb619450ddf22a28b03d3aa23bd37acc3ed7e2ac2,26/06/2023 00:19:01,ESCANER
7087,"El Progreso",4,"Sanarate",7,788,278,5,0,59,32,0,82,0,0,10,188,3,1,192,0,192,--,278,86,188,192,192,Algún campo sin dato,1,a6d197fcafee554d812843e9990157744c9887e74ecba3cfd11cf9d27c0eb60c,25/06/2023 23:22:48,ESCANER
7088,"El Progreso",4,"Sanarate",7,789,380,4,3,30,72,0,109,0,0,15,233,11,6,250,0,250,--,380,130,233,250,250,Algún campo sin dato,1,59e29f1502875d180b5dfae75115c8caa732668c344d53adfa9d0dbe640510d2,25/06/2023 23:44:13,ESCANER
7089,"El Progreso",4,"Sanarate",7,789,380,2,6,33,64,2,149,0,0,4,260,9,0,269,0,269,--,380,111,260,269,269,Algún campo sin dato,1,a8e6cebdafa39204bcee76364cee95434a87be3da5c6fa12ca669fa806a7edf7,25/06/2023 23:15:29,ESCANER
7090,"El Progreso",4,"Sanarate",7,789,380,2,4,30,53,1,168,0,0,9,267,11,7,285,0,285,--,380,95,267,285,285,Algún campo sin dato,1,291304c730facfaf58a5610c62dc206e414106413bb6a53f5e33cfe4f8377f6d,25/06/2023 23:06:16,ESCANER
7091,"El Progreso",4,"Sanarate",7,789,380,4,0,27,62,0,126,0,0,7,226,2,4,232,8,240,--,380,140,226,232,240,Algún campo sin dato,1,6d1ed82c55068a9b0c9c42c968b1418084449b0da45984c0f61b4ca2baaca071,26/06/2023 00:51:12,ESCANER
7092,"El Progreso",4,"Sanarate",7,789,380,5,1,20,61,1,128,0,0,13,229,14,5,248,0,248,--,380,132,229,248,248,Algún campo sin dato,1,63a26d48e2e6874753b30e5351e51b684b74e7a76c4e276fdfdf8bfe11df3d93,26/06/2023 01:54:53,ESCANER
7093,"El Progreso",4,"Sanarate",7,789,365,5,2,28,50,1,113,0,0,5,204,4,3,211,0,204,--,366,155,204,211,211,Sumas Asentadas sin cuadrar,1,539b6c656961c88cf025444571835ad287ab89994ceb09c3d1449e35c279d6e1,26/06/2023 01:30:10,ESCANER
7094,"El Progreso",4,"Sanarate",7,789,364,3,2,30,54,0,129,0,1,8,227,2,0,229,0,229,--,361,132,227,229,229,Algún campo sin dato,1,4ee4d68ec6d55e4362fd1c52e84d0fa7d1d2e075282f220c66f3e9262056dd08,26/06/2023 01:05:55,ESCANER
7095,"El Progreso",4,"Sanarate",7,790,380,1,8,115,34,2,73,0,2,0,235,13,4,252,0,252,--,380,128,235,252,252,Algún campo sin dato,1,663ea5283cf7e7b37c0521bf8b48ecc06f4dce07391b319823fb530d2e73a8e3,26/06/2023 01:45:29,ESCANER
7096,"El Progreso",4,"Sanarate",7,790,380,3,1,131,36,7,69,0,0,3,250,15,5,270,0,270,--,380,110,250,270,270,Algún campo sin dato,1,3440e19273824f540ed40d4b0724608b801a8b6e90baf37a77b22f32a615aba0,26/06/2023 01:21:12,ESCANER
7097,"El Progreso",4,"Sanarate",7,790,238,0,0,75,18,1,44,0,0,0,138,4,1,143,0,143,--,235,93,138,143,143,Algún campo sin dato,1,9c8a2a3b84ddc2e78897b96873e96e61d745dd6433d52a977eb9544530ef75f4,25/06/2023 22:08:44,ESCANER
7098,"El Progreso",4,"Sanarate",7,790,238,0,1,67,14,2,56,0,0,1,141,3,2,146,0,146,--,238,92,141,146,146,Algún campo sin dato,1,eca062ce1ef12c0c070f6af235e7c9a261f7e6685ac967ca207215cd28cbc89b,25/06/2023 23:34:35,ESCANER
7099,"El Progreso",4,"Sanarate",7,791,380,9,4,79,121,0,71,0,0,4,288,8,1,297,0,297,--,380,83,288,297,297,Algún campo sin dato,1,4ac38a449e232a4ef7bbc69cbf86213c45bac43fd6a1bab5e44fc6a3c1421661,26/06/2023 02:10:03,ESCANER
7100,"El Progreso",4,"Sanarate",7,791,380,5,5,96,125,0,54,1,0,1,287,15,1,303,0,303,--,378,75,287,303,303,Algún campo sin dato,1,194cbd6335327bf9d3bef1e57c2c868bd71a29cb290468d25758ecb6405c8e4f,26/06/2023 02:20:10,ESCANER
7101,"El Progreso",4,"Sanarate",7,791,380,3,2,64,126,0,58,0,1,2,256,5,2,263,1,264,--,380,117,256,263,264,Algún campo sin dato,1,608633423ab2fde9f8f41dc7add91e44ca8dd5be13b12d0b45c8cbdc2156aca3,26/06/2023 01:01:23,ESCANER
7102,"El Progreso",4,"Sanarate",7,791,194,4,1,40,60,1,28,0,0,2,136,2,1,139,0,139,--,194,55,136,139,139,Algún campo sin dato,1,835638a43049191b8413a81c459262f25801bcc2abf314ae97ff6371205241a3,25/06/2023 23:57:14,ESCANER
7103,"El Progreso",4,"Sanarate",7,791,193,9,1,36,63,1,21,0,0,3,134,2,0,0,0,136,1,193,56,134,136,136,,1,14e35841a17ee2033e09820215a321ee9b1ca48032db45da928b382649a6753c,26/06/2023 00:14:25,ESCANER
7104,"El Progreso",4,"Sanarate",7,792,380,2,4,58,58,1,153,0,0,7,283,8,3,294,0,294,--,380,86,283,294,294,Algún campo sin dato,1,bebf17ee1ddbd289b09798f3a14cf2d293b08d6ee4a419d6784e015c9200f22a,26/06/2023 00:40:40,ESCANER
