TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
346,346,100.0000,346,100.0000,0,126904,83034,65.4305

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,VALOR,TODOS,UNE,PODEMOS,PIN,VAMOS,MLP,P A N,PHG,BIEN,URNG-MAIZ WINAQ,CREO,MI FAMILIA,FCN-NACION,CAMBIO,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6870,"El Progreso",4,"Guastatoya",1,748,468,0,5,16,1,1,8,1,11,0,0,0,1,0,2,0,0,0,0,46,4,2,52,0,52,--,468,416,46,52,52,Algún campo sin dato,1,01f86ce41aabfd9e884c40da70a768a1330d23a43a6b06636fa827bfd693a5f9,26/06/2023 00:51:14,ESCANER
6871,"El Progreso",4,"Morazán",2,749,400,3,2,68,3,11,15,1,51,1,0,5,7,1,0,3,3,0,0,174,26,28,228,0,228,--,400,172,174,228,228,Algún campo sin dato,1,42decbfed04584511c73dc6601235ef67307098efee2b486ab66c5ef66f1197f,25/06/2023 23:30:14,ESCANER
6872,"El Progreso",4,"Morazán",2,749,400,0,3,75,5,10,16,0,43,2,1,2,3,1,2,2,1,1,1,168,30,37,235,0,235,--,399,164,168,235,235,Algún campo sin dato,1,c15146905fe8c7df4f8af893d19ec953c4acb274db10da2c9aea240aa7fec676,25/06/2023 23:08:56,ESCANER
6873,"El Progreso",4,"Morazán",2,749,400,1,3,57,8,8,15,1,72,0,1,2,4,0,0,1,1,2,2,178,31,42,251,0,251,--,400,149,178,251,251,Algún campo sin dato,1,5a9c998ef929fd2957768cebe236fc8088d156124802faa7c561ac302cacbdf9,25/06/2023 23:30:08,ESCANER
6874,"El Progreso",4,"Morazán",2,749,400,4,1,54,5,13,25,0,64,0,3,4,3,2,2,0,3,0,0,183,37,59,279,0,279,--,396,117,183,279,279,Algún campo sin dato,1,394bd8a663d196f9ef9d7cf455a34ee103141147d8c567bd311cf9a504ffaba7,26/06/2023 01:09:56,ESCANER
6875,"El Progreso",4,"Morazán",2,749,400,3,2,72,9,9,19,0,81,0,1,10,5,1,1,1,0,0,3,217,48,24,289,--,289,--,400,--,217,289,289,Algún campo sin dato,1,4a65f26f09458fb9c5c1115da6a1e9a49755e6d8b562c7e0327c27a570d9397b,25/06/2023 23:11:46,ESCANER
6876,"El Progreso",4,"Morazán",2,749,400,2,6,85,1,11,13,0,91,0,1,6,5,3,0,1,3,1,0,229,33,41,303,0,--,--,405,102,229,303,303,Algún campo sin dato,1,087fbdf2ad6fec1d333fedf1cc3a42d81c1ede3bd656b1a81cafc4cd9cc9e43c,25/06/2023 23:56:43,ESCANER
6877,"El Progreso",4,"Morazán",2,750,400,4,2,116,3,12,13,0,86,1,1,4,6,2,0,3,3,1,1,258,33,30,321,0,321,1,401,80,258,321,321,,1,ef00c4c64c3a974110826c9c732407bcdfbdfbbfc7bd644c1787b1ba84384a60,25/06/2023 23:15:54,ESCANER
6878,"El Progreso",4,"Morazán",2,750,400,2,3,105,5,13,13,0,109,0,0,7,10,0,2,4,2,1,1,277,36,19,332,0,332,--,400,68,277,332,332,Algún campo sin dato,1,f52c564d7b75d6a984d4968ebbc6128ee6fc5e58a224b0bcead403cb13f4a286,25/06/2023 23:16:32,ESCANER
6879,"El Progreso",4,"Morazán",2,750,400,5,2,84,4,10,11,0,71,0,0,5,7,0,1,0,8,0,0,210,30,21,261,0,261,--,400,139,208,259,259,Sumas Asentadas sin cuadrar,1,fa6d69485df4596fc7697edddf1817cf3ee184a20995a3391e9e4084813bc86e,25/06/2023 22:43:50,ESCANER
